Make	Model	Buyer Gender	Buyer Age	Country	City	Dealer Latitude	Dealer Longitude	Color	New Car	Purchase Date	Sale Price	Discount	Resell Price	5-yr Depreciation	Top Speed	0-60 Time
Suzuki	Vitara	Female	51	Belgium	Antwerpen	51.2472392	4.4403455	Yellow	FALSE	19/07/2009	54806.14	0.2467	33858.32	0.13	200.9	11.5
Honda	S2000	Male	30	China	Jinhu	33.025433	119.020584	Crimson	FALSE	26/10/2015	51826.3	0.3147	2989.28	0.02	158.5	8.8
BMW	Z4	Female	54	China	Gemo	30.9162065	121.6776404	Khaki	FALSE	28/03/2010	82929.14	0.5414	35049.16	0.24	149.5	14.4
Toyota	Tacoma	Male	68	Portugal	Queluz de Baixo	38.7451684	-9.2670871	Puce	FALSE	7/5/2008	56928.66	0.085	8236.15	0.2	153.3	11.5
Ford	Festiva	Male	70	Latvia	Jaunpils	56.72998	23.0165879	Yellow	FALSE	1/6/2008	77201.26	0.1642	32765.76	0.18	122	14.9
Buick	Skylark	Female	70	Mexico	Guadalupe	25.6775595	-100.2596935	Crimson	FALSE	17/05/2007	50882.23	0.6913	38576.59	0.16	182.7	9.6
Infiniti	QX	Male	66	Japan	Gosen	37.7525244	139.1650556	Fuscia	TRUE	11/8/2017	69680.54	0.1657	27962.25	0.18	231.8	5.3
Ram	C/V	Male	37	Russia	Izborsk	57.708244	27.8608831	Aquamarine	TRUE	23/11/2007	56393.91	0.1006	29157.95	0.14	144.1	4.7
GMC	Safari	Male	43	Luxembourg	Eschweiler	49.99754	5.9475635	Mauv	TRUE	16/03/2003	13797.81	0.2126	31062.38	0.01	223.3	5.8
Nissan	Altima	Female	73	Cyprus	Meneou	34.8582652	33.6007892	Puce	TRUE	19/05/2019	15176.04	0.1922	45892.79	0.12	170.4	4.1
Toyota	Previa	Female	67	Brazil	Freguesia do Ribeirao da Ilha	-27.7203552	-48.563999	Violet	TRUE	2/3/2004	82844.12	0.1651	4740.87	0.05	135.4	8.9
Scion	xB	Female	29	China	Chengbei	36.650038	101.766228	Green	TRUE	9/9/2008	95681.78	0.5507	16358.27	0.08	136.4	4.1
Porsche	928	Female	37	Philippines	Pangal Sur	16.67064	121.71581	Fuscia	FALSE	26/01/2020	90954.5	0.3937	40650.31	0.1	213.9	2.5
Lexus	HS	Male	43	Paraguay	Villa Elisa	-25.3823822	-57.5872528	Turquoise	FALSE	28/06/2014	46666.83	0.6937	33634.37	0.08	134.1	4.4
GMC	Yukon	Male	41	Mexico	San Isidro	20.7303804	-103.3977222	Teal	TRUE	6/10/2020	11280	0.2396	9279.51	0.08	248.7	7.3
Mitsubishi	Mirage	Male	21	China	Dalu	25.606486	100.267638	Indigo	FALSE	14/04/2011	23110.07	0.6385	41916.47	0.04	245.6	3.4
Dodge	Viper	Male	57	Indonesia	Sumberejo	-7.2030729	112.0237903	Teal	TRUE	17/10/2004	77346.39	0.6078	32280.44	0.18	159.8	8.2
Mazda	B2500	Female	54	Togo	Tchamba	9.029518	1.4168974	Crimson	TRUE	27/09/2002	15500.07	0.6852	20175.47	0.04	185.6	5.4
Land Rover	LR3	Male	37	Palestinian Territory	Ar Ram???n	31.375657	34.905759	Aquamarine	FALSE	28/09/2015	84151.25	0.1375	49656.3	0.05	120.6	13
Isuzu	Space	Female	66	China	Dengteke	48.6429165	124.5597559	Green	FALSE	20/10/2009	97058.87	0.1654	21985.35	0.21	136.6	8.5
Acura	TL	Female	43	Iran	R?mhormoz	31.2777088	49.5993167	Red	TRUE	15/05/2005	74986.42	0.0637	31655.99	0.02	125.2	11.8
Pontiac	Bonneville	Female	56	Hong Kong	Hong Kong	22.396428	114.109497	Pink	TRUE	22/05/2003	63314.15	0.4378	36647.24	0.09	175.4	12.1
Dodge	Dakota Club	Male	53	Bangladesh	Jessore	23.1387718	89.2502399	Yellow	FALSE	29/04/2007	77520.81	0.6809	23681.6	0.24	143.7	13
Audi	Cabriolet	Female	55	Ecuador	Macas	-2.3062241	-78.1153707	Puce	TRUE	23/07/2008	78231.21	0.2408	5938.36	0.02	155	3.4
Pontiac	Sunfire	Male	32	Afghanistan	Khud?yd?d Kh?l	35.17835	67.68758	Maroon	TRUE	21/01/2020	62931.23	0.0491	27403.55	0.17	126.2	10.8
